Brand,Model,Resolution (pixels),Platform,Battery Life(mAh),Built in Memory (GB),Front Camera Res (MP),Rear Camera Res (MP),Ram (GB),Base Price ($),Weight (g),Proccessor Speed(GHz),CPU Benchmark,Memory Benchmark,Disk Benchmark,Hyperlink
LG,Stylo 4,2160 x 1080,Android 9.0,3300,32,5,13,2,298.6,172,1.8,6,10,10,https://www.bestbuy.ca/en-ca/product/lg-stylo-4-brand-new-unlocked-6-2-screen/13029973.aspx?,
Apple,iPhone 6s,1334 x 750,iOS 8,1810,32,5,12,2,495.83,143,1.85,8,5,18,https://www.bestbuy.ca/en-ca/product/iphone-6s-32gb-gsm-unlocked-smartphone-space-gray-refurbished/12507293.aspx?,
Samsung,Galaxy A8,2220 x 1080,Android 8.6,3000,32,8,16,4,439.99,169,1.8,10,13,15,https://www.bestbuy.ca/en-ca/product/samsung-galaxy-a8-32gb-black-unlocked-open-box/12596669.aspx?,
Huawei,Honor 8X,2340 x 1080,Android 8.0,3750,64,16,20,4,399.95,175,2.2,14,10,12,https://www.bestbuy.ca/en-ca/product/huawei-honor-8x-dual-sim-64gb-smartphone-blue-unlocked-international-version-w-seller-provided-warranty/13488182.aspx?,
Samsung,Galaxy S7,2560 x 1440,Android 8.0,3000,32,5,12,4,209.99,152,1.6,12,9,8,https://www.bestbuy.ca/en-ca/product/samsung-galaxy-s7-32gb-gsm-unlocked-cellphone-in-black-onyx-refurbished/12307436.aspx?,
ASUS,ZenFone M1,1080 x 2160,Android 7.1.1,4130,32,8,16,3,299.99,180,1.5,12,14,12,https://www.bestbuy.ca/en-ca/product/asus-zenfone-max-plus-m1-32gb-moonlight-black-unlocked/12321243.aspx?,
Motorola,Moto G6 Plus,2160 x 1080,Android 8.1,3200,64,5,12,4,324.72,167,2.2,12,11,10,https://www.bestbuy.ca/en-ca/product/motorola-moto-g6-plus-64gb-smartphone-deep-indigo-factory-unlocked-international-version-w-seller-provided-warranty/12554359.aspx?,
Google,Pixel XL,2560 x 1440,Android 9.0,2770,128,8,12.3,4,409.72,168,2.15,14,13,15,https://www.bestbuy.ca/en-ca/product/brand-new-google-pixel-xl-128gb-smartphone-factory-unlocked/13025024.aspx?,
Sony,Xperia 10,2520 x 1080,Android 9.0,2870,64,5,13,4,499,162,2.2,13,16,17,https://www.bestbuy.ca/en-ca/product/sony-xperia-10-6-unlocked-smartphone-64gb-4gb-ram-silver-nbsp/13499510.aspx?,
BlackBerry,DTEK60,2560 x 1440,Android 8.1,3000,32,8,21,4,299.72,165,2.15,11,16,13,https://www.bestbuy.ca/en-ca/product/blackberry-dtek60-32gb-smartphone-black-unlocked/12353886.aspx?,
Apple,iPhone 8,1334 x 750,iOS 11,1821,256,7,12,2,899.97,150,2.4,34,44,23,https://m.bestbuy.ca/en-ca/product/apple-iphone-8-256gb-silver-unlocked/11537389,
Apple,iPhone 7,1334 x 750,iOS 10,1960,128,7,12,2,599.97,138,2.3,11,17,23,https://m.bestbuy.ca/en-ca/product/apple-rogers-apple-iphone-7-128gb-smartphone-jet-black-2-year-agreement-mn962vc-a/10484354,
Samsung,Galaxy S10,3040 x 440,Android 9.0,3300,128,10,16,8,1419.99,175,2.7,18,22,33,https://m.bestbuy.ca/en-ca/product/samsung-galaxy-s10-128gb-prism-black-unlocked/13392861,
Samsung,Galaxy S9,960 x 1440,Android 8.0,3000,64,8,12,4,799.99,163,1.7,18,17,31,https://www.bestbuy.ca/en-ca/product/samsung-galaxy-s9-64gb-titanium-grey-unlocked/12357821.aspx?,
Apple,iPhone X,2436 x 1125,iOS 11,2716,64,7,12,3,1379,174,2.4,35,45,28,https://www.newegg.ca/Product/Product.aspx?item=N82E16875113047,
Asus,ROG Phone,2160 x 1080,Andriod 8.1,4000,128,8,12,8,1199.99,200,2.8,20,22,14,https://www.bestbuy.ca/en-ca/product/asus-rog-phone-128gb-black-unlocked/13041590.aspx?,
BlackBerry,Key2,1620 x 1080,Andriod 8.1,3500,64,8,12,6,899.99,165,1.8,8,13,13,https://m.bestbuy.ca/en-ca/product/blackberry-key2-bbf100-6-dual-sim-64gb-in-black-factory-unlocked-cellphone-new-in-box/13446475,
Razer,Razer Phone,2560 x 1440,Andriod 7.1.1,4000,64,8,12,8,799.99,200,2.4,16,23,14,https://m.bestbuy.ca/en-ca/product/razer-phone-64gb-special-edition-gold-unlocked/13202498,
Huawei,P20,2244 x 1080,Android 8.1,5000,128,24,12,4,898.99,165,2.36,19,19,25,https://m.bestbuy.ca/en-ca/product/huawei-p20-128gb-smartphone-black-factory-unlocked/12874339,
CAT,S60,1280 x 720,Andriod 6.0,3800,32,5,13,3,899.99,223,1.5,8,15,18,https://m.bestbuy.ca/en-ca/product/cat-cat-s60-32gb-smartphone-black-unlocked-cs60-sub-usa-un/10513686,
